ward,booth,street,total_voters,notice_delivered
WARD 36,Booth # 237,பாண்டியன் நகர,515,0
WARD 36,Booth # 237,விநாயக நகர்,82,0
WARD 36,Booth # 238,Street Not Found,1,0
WARD 36,Booth # 238,அன்பு மலர் தெரு,310,0
WARD 36,Booth # 238,வல்லலார் தெரு,657,0
WARD 36,Booth # 239,குருநாதன் தெரு,139,0
WARD 36,Booth # 239,செம்பருத்தி வீதி,23,0
WARD 36,Booth # 239,தலை வீதி,203,0
WARD 36,Booth # 239,நேஹ்ரு தெரு,75,0
WARD 36,Booth # 239,வி.ஓ.சி 1வது தெரு,189,0
WARD 36,Booth # 239,வி.ஓ.சி 2வது தெரு,152,0
WARD 36,Booth # 252,தாஹசில்தார் நகர் 1வது முகவாய் தெரு,136,0
WARD 36,Booth # 252,மருதுபண்டியார் தெரு,516,0
WARD 36,Booth # 253,சரவணன் தெரு எம்.ஜி.ஆர் காலனி,172,0
WARD 36,Booth # 253,திரு . விஞ்.கா 2வது தெரு,177,0
WARD 36,Booth # 253,திரு.வி.கா 1வது தெரு,141,0
WARD 36,Booth # 253,பெரியார் வீதி,252,0
WARD 36,Booth # 255,மரியம்மன் கோவில் தெரு,172,0
WARD 36,Booth # 255,மல்லிகை தெரு,86,0
WARD 36,Booth # 255,ராஜா வீதி,163,0
WARD 36,Booth # 255,வாண்டியூர் முதன்மை சாலை,112,0
WARD 36,Booth # 255,விநாயகர் கோவில் தெரு முதன்மை தெரு,195,0
WARD 37,Booth # 240,சபரி தெரு,104,29
WARD 37,Booth # 240,பாரத் 1வது தெரு,186,73
WARD 37,Booth # 240,பாரத் 2வது தெரு,171,89
WARD 37,Booth # 240,ராஜராஜன் தெரு,79,8
WARD 37,Booth # 240,வீரவாஞ்சி தெரு,272,136
WARD 37,Booth # 243,Vallalar Stre,1,0
WARD 37,Booth # 243,இண்ட்ரா நகர் கிழக்கு கடைசி தெரு அண்ணா நகர்,229,0
WARD 37,Booth # 243,சுவகத் ரெசிடென்சி கிழக்கு கடைசி தெரு இண்ட்ரா நகர்,91,0
WARD 37,Booth # 244,அரிஞ்சர் அண்ணா தெரு அன்பு நகர்,192,0
WARD 37,Booth # 244,அரிஞ்சர் அண்ணா தெரு தாஹசில்தார் நகர்,71,0
WARD 37,Booth # 244,இந்திரா காலனி இந்திரா நகர் அண்ணா நகர்,553,0
WARD 37,Booth # 244,கன்னடசன் தெரு இந்திரா நகர் அண்ணா நகர்,113,0
WARD 37,Booth # 245,அன்னை அபிராமி தெரு அன்பு நகர்,191,92
WARD 37,Booth # 245,அன்னை அபிராமி தெரு ஏழில் நகர் அன்பு நகர்,83,37
WARD 37,Booth # 245,அன்னை அபிராமி தெரு தாஹசில்தார் நகர்,255,105
WARD 37,Booth # 245,அன்னை அபிராமி தெரு மகிஹாம்பு வீதி,13,3
WARD 37,Booth # 245,அன்னை அபிராமி தெரு மகிஹாம்பு வீதி அன்பு நகர்,14,7
WARD 37,Booth # 245,அன்னை அபிராமி தெரு மகிஹாம்பு வீதி யாகப்பா நகர்,37,26
WARD 37,Booth # 245,அரிஞ்சர் அண்ணா தெரு மகிஹாம்பு வீதி அன்பு நகர்,56,32
WARD 37,Booth # 245,அரிஞ்சர் அண்ணா தெரு யாகப்பா நகர்,92,31
WARD 37,Booth # 245,கலையங்கர் தெரு தாஹசில்தார் நகர்,160,103
WARD 37,Booth # 246,மன்னார் திருமலை தெரு,128,70
WARD 37,Booth # 246,வி.ஓ.சி 1வது தெரு,286,161
WARD 37,Booth # 246,வி.ஓ.சி 2வது தெரு,146,89
WARD 37,Booth # 246,வி.ஓ.சி 3வது குறுக்கு தெரு,50,23
WARD 37,Booth # 246,வி.ஓ.சி 3வது தெரு,381,263
WARD 37,Booth # 246,வி.ஓ.சி குறுக்கு தெரு,71,44
WARD 37,Booth # 246,வி.ஓ.சி முக்கிய தெரு,61,24
WARD 37,Booth # 247,சித்தி வினாயகர் கோவில் தெரு,1041,256
WARD 37,Booth # 248,Overseas,1,0
WARD 37,Booth # 248,சதாசிவம் நகர்,75,8
WARD 37,Booth # 248,முல்லை வீதி,126,47
WARD 37,Booth # 248,விவேகநந்தர் தெரு,772,375
WARD 37,Booth # 249,கொட்டூர் குருசாமி தெரு,142,78
WARD 37,Booth # 249,சேந்தில் நாதன் தெரு,406,181
WARD 37,Booth # 249,தாகோர் தெரு,248,147
WARD 37,Booth # 249,நேஹ்ரு தெரு,88,26
WARD 37,Booth # 249,பாரதியார் தெரு,166,42
WARD 37,Booth # 250,அசத் தெரு,186,53
WARD 37,Booth # 250,குருஞ்சி தெரு,556,157
WARD 37,Booth # 254,கல்லூரி வீதி,282,0
WARD 37,Booth # 254,நெல்லை தெரு,228,0
WARD 37,Booth # 254,நெல்லை வீதி 2வது குறுக்கு தெரு,7,0
WARD 37,Booth # 254,மூவெண்டார் தெரு,112,0
WARD 37,Booth # 259,Street Not Found,1,0
WARD 37,Booth # 259,எம்.ஜி.ஆர் வீதி,353,94
WARD 37,Booth # 259,ஓவாயார் தெரு,43,9
WARD 37,Booth # 259,கபிலர் வீதி,205,87
WARD 37,Booth # 259,கருமரி அம்மன் தெரு,83,17
WARD 37,Booth # 259,சேக்கியர் தெரு,60,33
WARD 37,Booth # 259,மறைமாலை அடிகல் தெரு,217,102
WARD 39,Booth # 241,யாகப்பா நகர்,388,0
WARD 39,Booth # 241,யாகப்பா நகர் 1வது தெரு,285,0
WARD 39,Booth # 241,யாகப்பா நகர் 2வது தெரு,296,0
WARD 39,Booth # 241,யாகப்பா நகர் குறுக்கு தெரு,76,0
WARD 39,Booth # 241,யாகப்பா நகர் முதல் குறுக்கு தெரு,54,0
WARD 39,Booth # 242,குமாரன் தெரு  சதாசிவம் நகர்,365,0
WARD 39,Booth # 242,பகவத் சிங் தெரு  தாஹசில்தார் நகர்,107,0
WARD 39,Booth # 242,மீனாட்சி நகர்,140,0
WARD 39,Booth # 242,யாகப்பா நகர் 2வது குறுக்கு தெரு பாளாஜி நகர் 1வது தெரு,81,0
WARD 39,Booth # 242,யாகப்பா நகர் 3வது தெரு,250,0
WARD 39,Booth # 242,ராஜகமல் தெரு,41,0
WARD 39,Booth # 256,சுபத்ரா குறுக்கு தெரு சதாசிவா நகர்,4,0
WARD 39,Booth # 256,சுபத்ரா தெரு சதாசிவா நகர்,123,0
WARD 39,Booth # 256,திருவள்ளுவர் குறுக்கு தெரு,41,0
WARD 39,Booth # 256,திருவள்ளுவர் தெரு சதாசிவா நகர்,545,0
WARD 39,Booth # 257,அன்னை அபிராமி தெரு சதாசிவா நகர்,77,0
WARD 39,Booth # 257,எலங்கோவடிகல் குறுக்கு தெரு சதாசிவா நகர்,26,0
WARD 39,Booth # 257,எலங்கோவடிகல் தெரு சதாசிவா நகர்,57,0
WARD 39,Booth # 257,சதாசிவா நகர் முதன்மை சாலை,58,0
WARD 39,Booth # 257,பாண்டியன் தெரு சதாசிவா நகர்,140,0
WARD 39,Booth # 257,மீனாட்சி தெரு சதாசிவா நகர்,55,0
WARD 39,Booth # 257,விநாயகர் முதன்மை 1வது தெரு சதா சிவா நகர்,76,0
WARD 39,Booth # 257,விநாயகர் முதன்மை சாலை சதாசிவா நகர்,176,0
WARD 39,Booth # 258,கம்பர் தெரு,176,0
WARD 39,Booth # 258,சிஎஸ்ஆர் வீதி,110,0
WARD 39,Booth # 258,சௌரஸ்த்ராபுரம் 13வது தெரு,138,0
WARD 39,Booth # 258,நகீரார் தெரு,161,0
WARD 39,Booth # 258,நெதாஜி தெரு,293,0
WARD 39,Booth # 258,விநாயகர் கோவில் தெரு,145,0
WARD 39,Booth # 260,பசும்பொன் தெரு,333,0
WARD 39,Booth # 260,பாளாஜி 1வது தெரு,245,0
WARD 39,Booth # 260,பாளாஜி 2வது தெரு,254,0
WARD 39,Booth # 261,பாளாஜி நகர் 3வது தெரு,111,0
WARD 39,Booth # 261,பாளாஜி நகர் 4வது தெரு,79,0
WARD 39,Booth # 261,பாளாஜி நகர் முதன்மை வீதி,77,0
WARD 39,Booth # 261,யாகப்பா நகர் முதன்மை சாலை,384,0
WARD 39,Booth # 261,வைகை வீதி,362,0
WARD 39,Booth # 262,யாகப்பா நகர் அபாஸ் தெரு,480,0
WARD 39,Booth # 262,யாகப்பா நகர் செல்வவிநாயகர் கோவில் தெரு,432,0
WARD 39,Booth # 263,யாகப்பா நகர் பாண்டியன் நகர் வார்ட் 39  கதவு எண் - 1 முதல் கதவு எ,1060,0
WARD 39,Booth # 264,Street Not Found,1,0
WARD 39,Booth # 264,கலைவணர் தெரு,56,0
WARD 39,Booth # 264,குருஞ்சி நகர் 9வது தெரு,176,0
WARD 39,Booth # 264,சேயோன் நகர்,39,0
WARD 39,Booth # 264,சௌராஸ்த்ராபுரம்  குருஞ்சி நகர் 9வது தெரு,184,0
WARD 39,Booth # 264,சௌராஸ்த்ராபுரம் குருஞ்சி நகர் 7வது தெரு,343,0
WARD 39,Booth # 264,சௌராஸ்த்ராபுரம் குருஞ்சி நகர் 8வது தெரு,197,0
WARD 39,Booth # 265,குருஞ்சி நகர் 1வது தெரு,106,0
WARD 39,Booth # 265,குருஞ்சி நகர் 2வது தெரு,141,0
WARD 39,Booth # 265,குருஞ்சி நகர் 3வது தெரு,212,0
WARD 39,Booth # 265,குருஞ்சி நகர் 4வது தெரு,169,0
WARD 39,Booth # 265,குருஞ்சி நகர் 5வது தெரு,173,0
WARD 39,Booth # 265,குருஞ்சி நகர் முதன்மை சாலை,180,0
WARD 39,Booth # 266,குருஞ்சி நகர் 6வது தெரு,268,0
WARD 39,Booth # 266,பாளாஜி நகர்  மகராஜன் தெரு,154,0
WARD 39,Booth # 266,யாகப்பா நகர் பாண்டியன் நகர் வார்ட் 39  கதவு எண் - 1129-1 முதல் கதவு எண்,316,0
WARD 39,Booth # 266,விலங்குடி ( SP )  கண்ணதாசன் தெரு,177,0
